Year,Month,Container Size,Origin,Destination,Rate,Date
2015,Mar,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1390,Mar 2015
2015,Mar,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1750,Mar 2015
2015,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),670,Apr 2015
2015,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),840,Apr 2015
2015,Apr,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1390,Apr 2015
2015,Apr,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1750,Apr 2015
2015,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),650,May 2015
2015,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),850,May 2015
2015,May,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1390,May 2015
2015,May,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1750,May 2015
2015,Jun,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),670,Jun 2015
2015,Jun,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),860,Jun 2015
2015,Jun,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1390,Jun 2015
2015,Jun,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1750,Jun 2015
2015,Jul,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),670,Jul 2015
2015,Jul,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),850,Jul 2015
2015,Jul,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1640,Jul 2015
2015,Jul,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1950,Jul 2015
2015,Aug,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),630,Aug 2015
2015,Aug,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),820,Aug 2015
2015,Aug,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1490,Aug 2015
2015,Aug,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1740,Aug 2015
2015,Sep,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),600,Sep 2015
2015,Sep,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Sep 2015
2015,Sep,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1490,Sep 2015
2015,Sep,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1740,Sep 2015
2015,Oct,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),610,Oct 2015
2015,Oct,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),780,Oct 2015
2015,Oct,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1490,Oct 2015
2015,Oct,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1740,Oct 2015
2015,Nov,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),600,Nov 2015
2015,Nov,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),770,Nov 2015
2015,Nov,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1490,Nov 2015
2015,Nov,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1740,Nov 2015
2015,Dec,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),630,Dec 2015
2015,Dec,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),780,Dec 2015
2015,Dec,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1490,Dec 2015
2015,Dec,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1740,Dec 2015
2016,Jan,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),600,Jan 2016
2016,Jan,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),720,Jan 2016
2016,Jan,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1190,Jan 2016
2016,Jan,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1510,Jan 2016
2016,Feb,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),610,Feb 2016
2016,Feb,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),720,Feb 2016
2016,Feb,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1460,Feb 2016
2016,Feb,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Feb 2016
2016,Mar,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),590,Mar 2016
2016,Mar,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),730,Mar 2016
2016,Mar,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1160,Mar 2016
2016,Mar,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1460,Mar 2016
2016,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),590,Apr 2016
2016,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),730,Apr 2016
2016,Apr,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1390,Apr 2016
2016,Apr,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1840,Apr 2016
2016,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),580,May 2016
2016,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),730,May 2016
2016,May,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1140,May 2016
2016,May,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1460,May 2016
2016,Jun,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),580,Jun 2016
2016,Jun,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),720,Jun 2016
2016,Jun,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1390,Jun 2016
2016,Jun,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1840,Jun 2016
2016,Jul,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),580,Jul 2016
2016,Jul,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),730,Jul 2016
2016,Jul,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1250,Jul 2016
2016,Jul,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1590,Jul 2016
2016,Aug,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),580,Aug 2016
2016,Aug,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),710,Aug 2016
2016,Sep,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),570,Sep 2016
2016,Sep,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),710,Sep 2016
