Country,PurchaseOrderDate,Type,Product,Variant,SupplierCountry,Quantity,Value,Freight,Air,BDI,Doses,Distance,Volume,StorageCondition,Openness,Weight,TotalWeight
Turks and Caicos,2022-03-21,Vaccine,7405,1,India,2000,2000.0,1575.0,211.7,2358,1,13505.43,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.3,0.0209999999999999,41.9999999999998
Argentina,2022-03-23,Vaccine,1301,5,Netherlands,1500000,3750000.0,64714.0,211.7,2358,5,11466.75,119.3142857142857,"Between +2° C and + 8° C, must not be frozen",1.5,0.034464286,10339.2858
Argentina,2022-03-23,Vaccine,1301,5,Netherlands,2000000,5000000.0,86285.0,211.7,2358,5,11466.75,119.3142857142857,"Between +2° C and + 8° C, must not be frozen",1.5,0.034464286,13785.7144
Colombia,2022-03-23,Vaccine,1404,12,India,600000,78000.0,15208.0,211.7,2358,20,4021.171,205.7486111111111,Should be -20° C or below,1.8,0.041111111,1233.33333
Ecuador,2022-03-23,Vaccine,8205,5,India,650000,1050400.0,79479.0,211.7,2358,5,4584.073,137.18833333333333,"Between +2° C and + 8° C, can also be frozen",1.4,0.030208333,3927.08329
Trinidad and Tobago,2022-03-23,Vaccine,8205,1,India,5000,16200.0,4333.0,211.7,2358,1,3569.325,188.1,"Between +2° C and + 8° C, can also be frozen",3.4,0.043333333,216.666665
Dominican Republic,2022-03-25,Vaccine,7010,10,India,800000,90000.0,48000.0,211.7,2358,10,13701.71,186.1640625,"Between +2° C and + 8° C, must not be frozen",2.6,0.038368056,3069.44448
Dominican Republic,2022-03-25,Vaccine,7405,1,India,225000,225000.0,53950.0,211.7,2358,1,13701.71,93.08203125,"Between +2° C and + 8° C, must not be frozen",2.6,0.0198547512199999,4467.319024499978
Dominican Republic,2022-03-25,Vaccine,8205,1,India,160000,518400.0,68033.0,211.7,2358,1,2508.955,188.1,"Between +2° C and + 8° C, can also be frozen",2.6,0.043333333,6933.33328
Peru,2022-03-27,Vaccine,601,1,United States of America,300000,240000.0,104167.0,211.7,2358,1,16792.93,86.4,"Between +2° C and + 8° C, must not be frozen",3.2,0.0139925925775,4197.77777325
Peru,2022-03-27,Vaccine,601,1,United States of America,300000,240000.0,104167.0,211.7,2358,1,16792.93,86.4,"Between +2° C and + 8° C, must not be frozen",3.2,0.0139925925775,4197.77777325
Trinidad and Tobago,2022-03-29,Vaccine,1103,1,United States of America,25000,362500.0,5991.4,211.7,2358,1,3569.325,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",3.4,0.020411111,510.277775
Trinidad and Tobago,2022-03-29,Vaccine,7010,10,India,30720,3456.0,3200.0,211.7,2358,10,13808.25,186.1640625,"Between +2° C and + 8° C, must not be frozen",3.4,0.038368056,117.86666803199998
Nicaragua,2022-03-30,Vaccine,7010,10,India,253440,28512.0,22400.0,211.7,2358,10,15167.33,186.1640625,"Between +2° C and + 8° C, must not be frozen",3.0,0.038368056,972.400011264
Nicaragua,2022-03-30,Vaccine,7010,10,India,499200,56160.0,44500.0,211.7,2358,10,15167.33,186.1640625,"Between +2° C and + 8° C, must not be frozen",3.0,0.038368056,1915.33335552
Trinidad and Tobago,2022-03-30,Vaccine,7405,1,India,50000,50000.0,14800.0,211.7,2358,1,13808.25,93.08203125,"Between +2° C and + 8° C, must not be frozen",3.4,0.0209999999999999,1049.999999999995
Argentina,2022-03-31,Vaccine,8201,1,Belgium,478000,2390000.0,67928.0,211.7,2358,1,11326.76,134.58859374999997,"Between +2° C and + 8° C, can also be frozen",1.5,0.026041667,12447.916826
